
2021-01-06 09:03:12 上午  ---  请求路径:/allSingers  远程的ip:127.0.0.1  端口:34767  请求状态码:200
2021-01-06 09:03:12 上午  ---  请求路径:/musics  远程的ip:127.0.0.1  端口:34761  请求状态码:200
2021-01-06 09:03:22 上午  ---  请求路径:/updateCoverUrl  远程的ip:127.0.0.1  端口:34778  请求状态码:200
2021-01-06 09:03:22 上午  ---  请求路径:/error  远程的ip:127.0.0.1  端口:34778  请求状态码:404
2021-01-06 09:04:14 上午  ---  请求路径:/updateCoverUrl  远程的ip:127.0.0.1  端口:34810  请求状态码:200
2021-01-06 09:04:14 上午  ---  请求路径:/error  远程的ip:127.0.0.1  端口:34810  请求状态码:404
2021-01-06 09:09:12 上午  ---  请求路径:/updateCoverUrl  远程的ip:127.0.0.1  端口:34975  请求状态码:200
2021-01-06 09:09:12 上午  ---  请求路径:/error  远程的ip:127.0.0.1  端口:34975  请求状态码:404
2021-01-06 09:15:28 上午  ---  请求路径:/allAlbums  远程的ip:127.0.0.1  端口:35257  请求状态码:200
2021-01-06 09:15:28 上午  ---  请求路径:/allSingers  远程的ip:127.0.0.1  端口:35258  请求状态码:200
2021-01-06 09:15:28 上午  ---  请求路径:/singers  远程的ip:127.0.0.1  端口:35256  请求状态码:200
2021-01-06 09:15:28 上午  ---  请求路径:/albums  远程的ip:127.0.0.1  端口:35255  请求状态码:200
2021-01-06 09:15:28 上午  ---  请求路径:/musics  远程的ip:127.0.0.1  端口:35250  请求状态码:200
2021-01-06 09:15:35 上午  ---  请求路径:/updateCoverUrl  远程的ip:127.0.0.1  端口:35272  请求状态码:200
2021-01-06 09:15:35 上午  ---  请求路径:/error  远程的ip:127.0.0.1  端口:35272  请求状态码:404
2021-01-06 09:16:44 上午  ---  请求路径:/updateCoverUrl  远程的ip:127.0.0.1  端口:35352  请求状态码:200
2021-01-06 09:17:56 上午  ---  请求路径:/musics  远程的ip:127.0.0.1  端口:35414  请求状态码:200
2021-01-06 09:17:56 上午  ---  请求路径:/singers  远程的ip:127.0.0.1  端口:35418  请求状态码:200
2021-01-06 09:17:56 上午  ---  请求路径:/allAlbums  远程的ip:127.0.0.1  端口:35419  请求状态码:200
2021-01-06 09:17:56 上午  ---  请求路径:/albums  远程的ip:127.0.0.1  端口:35417  请求状态码:200
